,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
kʲ,0.789864237569324,0.844870175034212,0.790945523807402,0.776561389095596,0.811739551339751,0.750686129494716,0.768563876034416,0.847405494567646,0.803346306023938,0.773935341535322,0.788507173106741,0.746810212109842,0.776938971433061,0.777975065576191,0.816891120714983,0.769850804566226,0.78928229961382,0.756570068602118,0.855323147925436,0.761368716636788,0.765005316519997,0.783992798234641,0.783059415983284,0.812822223708093,1.0,0.801980355147691,0.794338557347131,0.868210755609068,0.897566344421494,0.879094793860798,0.829050105852656,0.884170454271795,0.882369507758459,0.791507771277957
g,0.774292076512408,0.826791870560655,0.79181139032841,0.780732172867777,0.769570528542515,0.75799126605543,0.793443232199077,0.792075985907184,0.736718539074177,0.745489656753557,0.769020070577399,0.727132128639216,0.788383785528844,0.737453438833147,0.764496577617284,0.757003578296857,0.768153035585712,0.723382657318254,0.832237444238856,0.751687933085259,0.747607120988676,0.774832259393888,0.758352685956755,0.778719588052862,0.801980355147691,1.0,0.757808635706426,0.83510409510125,0.872180617859653,0.860155036039565,0.815057944053411,0.871591977070226,0.865398765061015,0.811824038015818
gʲ,0.774720342520472,0.841951888857273,0.793158533186236,0.76412293482134,0.780591090558138,0.776084955546001,0.750866241312467,0.809524421738933,0.761560946280862,0.78983036087991,0.76115912525519,0.753708248823342,0.775999162514788,0.74434514044509,0.799420480506295,0.795105698622586,0.82623650596777,0.788898233183109,0.844540598078032,0.77236324686966,0.760204688294268,0.75008034171206,0.772742968553134,0.805289051735733,0.794338557347131,0.757808635706426,1.0,0.872662233554949,0.874184404232468,0.835745577995053,0.859172939913042,0.874354734491884,0.881529138978166,0.757986210768237
x,0.863840757012195,0.940835205052701,0.861838075971305,0.873829132833038,0.876797191923052,0.838455707583515,0.831845332864416,0.89260203868426,0.863754377243307,0.838866859590159,0.852435470543104,0.845172267767067,0.870482435810989,0.838571803370412,0.838899019662255,0.852553238677557,0.87079932985872,0.828815488471694,0.939763355875427,0.851573597847994,0.86179088897498,0.824739254392886,0.853917909637465,0.858843104235089,0.868210755609068,0.83510409510125,0.872662233554949,1.0,0.967794206167788,0.943275393799968,0.925352115031493,0.974213329236861,0.981845367742805,0.846156300262767
xʲ,0.879996254727645,0.949302626808736,0.87184699638055,0.852832957092153,0.879134655257534,0.839259522397036,0.852596471354706,0.919114312509455,0.857012046984113,0.855328524740173,0.840699976328161,0.847302231753166,0.857638332811888,0.828917496866466,0.86180726703014,0.857943923855085,0.880695813291942,0.834723072880501,0.952440784821911,0.855490919584031,0.839107841038002,0.857106798154448,0.874148666798679,0.876611970486001,0.897566344421494,0.872180617859653,0.874184404232468,0.967794206167788,1.0,0.956039067317076,0.938040350240709,0.991789164796361,0.991718033844228,0.86640108951485
ɣ,0.840398862964625,0.918974700163602,0.831646196060711,0.846822204389398,0.845550023842396,0.807501828610824,0.814651489277558,0.862299272909696,0.838418153636425,0.824608496562829,0.815678890899724,0.81830083860055,0.822672075078434,0.830685229267856,0.834630373572009,0.8262155746935,0.852329964555773,0.8051626805807,0.921409868337181,0.826473894745865,0.79543869108316,0.80088425649441,0.835233013374702,0.857227243046687,0.879094793860798,0.860155036039565,0.835745577995053,0.943275393799968,0.956039067317076,1.0,0.913314400965941,0.974655973446928,0.96321424108461,0.819422519307533
ɣʲ,0.825354402947497,0.900335391559601,0.838355459253917,0.816983912642799,0.8322175145384,0.792510523917725,0.80319938132095,0.848846629051581,0.824147440869474,0.805970811778008,0.813738459838885,0.80863455785551,0.813681755628308,0.787497699609586,0.824328674233452,0.822309906438634,0.83286786371077,0.791209574377782,0.902363285719499,0.809742534328213,0.805233629534662,0.795092676578485,0.822191561804552,0.822399868010303,0.829050105852656,0.815057944053411,0.859172939913042,0.925352115031493,0.938040350240709,0.913314400965941,1.0,0.941683375250991,0.95290942067545,0.810821073552416
ŋ,0.878609529549242,0.954117184492226,0.870570907668985,0.862586526084514,0.883227070886009,0.839125824665106,0.849356390519932,0.905059391378157,0.867105346335658,0.85521093423264,0.845775213845425,0.849079887130517,0.861870554206887,0.836773577802714,0.866205461156599,0.860949060280806,0.885314285505791,0.835490881091366,0.953417297965981,0.863274327806762,0.839538625781449,0.848306226854968,0.871915763620486,0.878652825783041,0.884170454271795,0.871591977070226,0.874354734491884,0.974213329236861,0.991789164796361,0.974655973446928,0.941683375250991,1.000000000000001,0.996194386346261,0.86597548852983
ŋʲ,0.877114891446273,0.954410228413741,0.873457394576731,0.866576957212973,0.88466812594589,0.84233410797285,0.849183853583792,0.906295288655843,0.869538870740868,0.85580063672128,0.851456519883076,0.852826075184337,0.867113015092021,0.838402480892149,0.86293139973606,0.862494072397627,0.883992625013971,0.837719123930255,0.955733937378079,0.86146602295801,0.846617484679371,0.848160152819503,0.872810839541985,0.876436203298965,0.882369507758459,0.865398765061015,0.881529138978166,0.981845367742805,0.991718033844228,0.96321424108461,0.95290942067545,0.996194386346261,1.0,0.86584200175903
h,0.80807854208056,0.840306025057947,0.797684361656136,0.751187093946598,0.768712281958814,0.75866810266823,0.771235840042641,0.809758945958065,0.787923273333127,0.75749792294286,0.775700530310414,0.753964619115188,0.823695071731427,0.759698182589216,0.775975041191024,0.80762592502051,0.801285453428488,0.730371687639761,0.832312927177896,0.792253935260545,0.759864760367215,0.807107443020236,0.78037987153815,0.787793080825499,0.791507771277957,0.811824038015818,0.757986210768237,0.846156300262767,0.86640108951485,0.819422519307533,0.810821073552416,0.86597548852983,0.86584200175903,1.0
