,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
lʲ,0.754191084398652,0.732369365783166,0.755765126403608,0.752539160361645,0.742561191324953,0.715218582070056,0.758094938612212,0.784423209677972,0.721599699415072,0.766842707540766,0.744216511166464,0.752789508403261,0.748461648149138,0.746479290851461,0.759310901228484,0.743010652584557,0.765164046876403,0.753695747380833,0.748895484351404,0.738161579424742,1.0,0.725285206588431,0.74574363476515,0.74612562169117,0.76397858781361,0.744154483848354,0.742004681362981,0.811759653476209,0.827906992420875,0.737517639834646,0.75088947140107,0.823700907128782,0.826032403288426,0.748391400012289
r,0.7524450483179,0.764208967191826,0.756898767010323,0.778154687149162,0.76030488773409,0.736739112411139,0.769591509778154,0.763544872387978,0.74806815679093,0.771409359936247,0.776736210699658,0.77238899831548,0.736439805062914,0.734340260989911,0.75695486272456,0.755819941884266,0.740273633000231,0.758654338781404,0.75142420392898,0.768169933057311,0.725285206588431,1.0,0.736660672549276,0.777504220148009,0.772616755848617,0.773127926599155,0.75421379651961,0.842054353398136,0.841491564726187,0.749525829856644,0.778366543784314,0.841951175570258,0.843798408717023,0.755889300592319
rʲ,0.7564744038305,0.739423611736068,0.756053892959551,0.754027173179634,0.744029815165009,0.751435120699272,0.770742291690668,0.767838489650934,0.727113367232928,0.750242609026794,0.747993213891006,0.74193761282835,0.757885961017721,0.754082071252403,0.7551360931419,0.729569544529662,0.766985765001596,0.737106494437774,0.743603486467911,0.73984332048095,0.74574363476515,0.736660672549276,1.0,0.755697927137714,0.766729696058207,0.751629031996418,0.747076963732092,0.813758772455762,0.827658902923662,0.752306761446127,0.761529385694054,0.834613011937666,0.828266425663837,0.75640600122061
k,0.781020720092601,0.774478438313692,0.786135372130075,0.763513002229125,0.783423006642628,0.750999559344359,0.789226817383099,0.787768365156388,0.767648821599238,0.785668642515263,0.753688206539906,0.794397481073545,0.757173163902097,0.786943095995058,0.776441763972745,0.768850052631274,0.772318938349559,0.74615866941562,0.73960972719078,0.760265602723351,0.74612562169117,0.777504220148009,0.755697927137714,1.0,0.775914055845688,0.780777056657358,0.762375056961978,0.894880292577803,0.855062530042964,0.766443936419966,0.800730844461186,0.855299058810182,0.859121967642006,0.776900548198397
kʲ,0.783546557498615,0.766508458389848,0.801567648072508,0.775587185025057,0.803929786091071,0.795424174477203,0.775520239934861,0.813478193181261,0.786143061981574,0.776495912579601,0.765184943764132,0.789164436028191,0.785706534888339,0.778648220642338,0.761076821512294,0.783372259330294,0.789591901988224,0.747400317517507,0.782771594382975,0.748202331870324,0.76397858781361,0.772616755848617,0.766729696058207,0.775914055845688,1.0,0.770041839068836,0.794096101146506,0.873981183085186,0.935706629667289,0.794856745504712,0.809580775004206,0.874241427914949,0.885321804590624,0.799988013632159
g,0.757440817561846,0.78545871703408,0.774483386649415,0.784985432185665,0.75377715481435,0.75862348518163,0.74771308056844,0.785816772038773,0.75276922791752,0.74638425772663,0.736901098630409,0.773530554377463,0.772460746118321,0.77149436605746,0.772937197520094,0.745690163169157,0.752635968722193,0.763718490858606,0.787622208822843,0.7758440173301,0.744154483848354,0.773127926599155,0.751629031996418,0.780777056657358,0.770041839068836,1.0,0.760885517375534,0.855506800055175,0.842996542763171,0.791573686122417,0.78573091415227,0.879875252246413,0.864913204513065,0.762288164030044
gʲ,0.779227698865872,0.783285603109796,0.753767896667278,0.754450899633075,0.769131980520083,0.754113090567911,0.790622535065988,0.800146184077894,0.794550529109541,0.772891262495506,0.74820556251899,0.770983255614746,0.764262972731076,0.764195823754391,0.750261069229436,0.748981710216119,0.746277262036662,0.746593933401541,0.75807065820818,0.765704023488565,0.742004681362981,0.75421379651961,0.747076963732092,0.762375056961978,0.794096101146506,0.760885517375534,1.0,0.841680422482511,0.856930409377415,0.769220014930663,0.809592000980893,0.849495867278464,0.877894397960608,0.795535904531412
x,0.855341081982805,0.837654280645452,0.833764595713237,0.840184870004493,0.860197253007837,0.845119467454319,0.854727711333548,0.868367959092289,0.865994221848916,0.845477585447965,0.824736182731182,0.859610428061071,0.835640486769035,0.844834639422611,0.81824599135341,0.832547482930271,0.852085180538395,0.817809771461276,0.839656570285306,0.84314297088508,0.811759653476209,0.842054353398136,0.813758772455762,0.894880292577803,0.873981183085186,0.855506800055175,0.841680422482511,1.0,0.965686214964059,0.873054516237663,0.896055999606421,0.979642084038957,0.974953641394432,0.860604984301102
xʲ,0.864951066461845,0.840220341962615,0.855420307705562,0.850348452637144,0.851668299623478,0.839068875984033,0.860898017340554,0.884615143558239,0.86528662274692,0.84891168788461,0.832412601142164,0.873970039921115,0.830694777175361,0.853817709459628,0.837520834081719,0.853709107869964,0.863769463723078,0.824038186366956,0.842967602510257,0.836855993858424,0.827906992420875,0.841491564726187,0.827658902923662,0.855062530042964,0.935706629667289,0.842996542763171,0.856930409377415,0.965686214964059,1.0,0.876639265002535,0.892807420885513,0.969626552862694,0.978457119987239,0.876779512542368
ɣ,0.83968396455251,0.747607695442244,0.759762118862004,0.779651951639286,0.782355640724283,0.768281660853738,0.769753831401127,0.801968866569564,0.783203285069873,0.769119983053115,0.767463400085826,0.785059897419127,0.770943052768328,0.775882391350506,0.743620065752273,0.769353773392121,0.767792591589344,0.736340398902532,0.765543036272979,0.784162210230276,0.737517639834646,0.749525829856644,0.752306761446127,0.766443936419966,0.794856745504712,0.791573686122417,0.769220014930663,0.873054516237663,0.876639265002535,1.0,0.876924108733188,0.897844457681472,0.881847639624655,0.824508911501861
ɣʲ,0.873333257901732,0.769146728542424,0.766249500314923,0.786747063496734,0.792198219777798,0.764011957393152,0.79158452453192,0.81277291074654,0.810890269503429,0.783371660522153,0.766602323408721,0.815123784620517,0.784378731995449,0.761383917891024,0.781510069166484,0.789633693988284,0.781790838915197,0.751341601338866,0.77879673216851,0.772161619191835,0.75088947140107,0.778366543784314,0.761529385694054,0.800730844461186,0.809580775004206,0.78573091415227,0.809592000980893,0.896055999606421,0.892807420885513,0.876924108733188,1.0,0.894325306711123,0.905895482333678,0.817957311047339
ŋ,0.8646576724684,0.839784155152147,0.85143049250697,0.849794815237384,0.867601021323045,0.851660107152328,0.871030227623766,0.892186435702939,0.870118082116912,0.8491037296014,0.843786653272176,0.877349658520863,0.850825388329448,0.856655726477756,0.830706152666712,0.853382532219754,0.851601221038519,0.832363516376959,0.849848636544658,0.865845179133316,0.823700907128782,0.841951175570258,0.834613011937666,0.855299058810182,0.874241427914949,0.879875252246413,0.849495867278464,0.979642084038957,0.969626552862694,0.897844457681472,0.894325306711123,1.0,0.989747177163271,0.878823557584338
ŋʲ,0.877530910017067,0.852748443280497,0.855101952420482,0.850320284189364,0.871397476851101,0.851981937383982,0.878807937288634,0.896839157158846,0.885508322267127,0.864007344039627,0.848239647271305,0.886071537873633,0.850449931952031,0.858725847907043,0.844165183905645,0.857074908004744,0.856413214986774,0.836725996141495,0.860285760881726,0.855157087002587,0.826032403288426,0.843798408717023,0.828266425663837,0.859121967642006,0.885321804590624,0.864913204513065,0.877894397960608,0.974953641394432,0.978457119987239,0.881847639624655,0.905895482333678,0.989747177163271,1.0,0.889105061161959
h,0.795714047098856,0.773184472207612,0.7648649261123,0.762687558379767,0.778320067620766,0.769425076351276,0.786282488955748,0.802129808939093,0.808216855404741,0.77311153628888,0.771779162648851,0.791277957318399,0.755914672868124,0.769462408985366,0.764463675925305,0.761380555197472,0.77943498021069,0.748064977553099,0.765436082456068,0.756513709742258,0.748391400012289,0.755889300592319,0.75640600122061,0.776900548198397,0.799988013632159,0.762288164030044,0.795535904531412,0.860604984301102,0.876779512542368,0.824508911501861,0.817957311047339,0.878823557584338,0.889105061161959,1.0
